日期(年),全國發電業_總計(公秉油當量),全國發電業_煤炭_合計(公噸),全國發電業_煤炭_煙煤-燃料煤(公噸),全國發電業_煤炭_亞煙煤(公噸),全國發電業_柴油(公秉),全國發電業_燃料油(公秉),全國發電業_(自產)天然氣(千立方公尺),全國發電業_(進口)液化天然氣(千立方公尺),台電_合計(公秉油當量),台電_煤炭_小計(公噸),台電_煤炭_煙煤-燃料煤(公噸),台電_煤炭_亞煙煤(公噸),台電_柴油(公秉),台電_燃料油(公秉),台電_(進口)液化天然氣(千立方公尺),民營電廠_合計(公秉油當量),民營電廠_煙煤-燃料煤(公噸),民營電廠_柴油(公秉),民營電廠_燃料油(公秉),民營電廠_(自產)天然氣(千立方公尺),民營電廠_(進口)液化天然氣(千立方公尺)
2002,27241211,29208055,24165092,5042963,161550,3605258,0,5194651,22370665,23015548,17972585,5042963,142752,3598549,4270727,4870546,6192507,18798,6709,0,923924
2003,28585574,31652336,26795026,4857310,133010,3208785,0,5424009,22604537,23851832,18994522,4857310,119097,3204004,4401376,5981037,7800504,13913,4781,0,1022633
2004,29488012,31914639,26901446,5013193,95506,2686120,0,6766691,22166411,24449065,19435872,5013193,87033,2681150,4186496,7321601,7465574,8473,4970,0,2580195
2005,31380196,34164013,28836838,5327175,160049,2487158,0,7414167,23626653,26346168,21018993,5327175,149919,2481891,4626998,7753544,7817845,10130,5267,0,2787169
2006,33449873,35685604,30528794,5156810,279583,3180889,0,7653481,25743271,27670333,22513523,5156810,273303,3176942,5033289,7706602,8015271,6280,3947,0,2620192
2007,34098728,36365060,30218537,6146523,138032,2798995,0,8499456,26241117,28243890,22097367,6146523,128280,2795772,5797793,7857610,8121170,9752,3223,0,2701663
2008,34351909,35777305,28667643,7109662,143994,2627896,0,9387436,26437679,27848814,20739152,7109662,136984,2623952,6505333,7914230,7928491,7010,3944,0,2882103
2009,31745299,34446374,27208299,7238075,67843,1456107,0,8956146,23402135,25804473,18566398,7238075,63356,1454753,6091818,8343164,8641901,4487,1354,0,2864328
2010,34991753,34604067,27677271,6926796,67289,1984124,0,11512357,26453155,25905498,18978702,6926796,63463,1981148,8489598,8538598,8698569,3826,2976,0,3022759
2011,36134791,36131077,23335773,12795304,56902,1771246,0,12446698,27474162,27720225,14924921,12795304,52464,1768835,9119656,8660629,8410852,4438,2411,0,3327042
2012,36138527,36610174,20829928,15780246,53115,1388238,0,12824411,27901577,28074830,12294584,15780246,48060,1385607,10000703,8236950,8535344,5055,2631,0,2823708
2013,35328371,34465379,21133730,13331649,52036,1289733,0,13261051,27070895,26225463,12893814,13331649,48249,1286952,10228689,8257476,8239916,3787,2781,0,3032362
2014,36628733,34620915,21636012,12984903,83394,1569946,0,14103924,28159177,26320435,13335532,12984903,78696,1567705,10898114,8469556,8300480,4698,2241,0,3205810
2015,37910778,32904729,21842367,11062362,141009,2473163,0,15284788,29258861,24500797,13438435,11062362,134418,2470300,11964567,8651917,8403932,6591,2863,0,3320221
2016,39714228,34577674,22949503,11628171,130516,2428599,0,16136329,30852254,26164206,14536035,11628171,125258,2427005,12609493,8861973,8413468,5258,1594,0,3526836
2017,43225819,37111780,26012164,11099616,140903,2664692,0,17734477,34443262,28974528,17874912,11099616,134208,2663258,14113291,8782557,8137252,6695,1434,0,3621186
2018,41687786,36609762,25963707,10646055,95337,1604280,0,17647706,33283592,28972347,18326292,10646055,88775,1601624,14089499,8404194,7637415,6562,2656,0,3558207
2019,39547850,34913490,24920367,9993123,81444,1106185,0,17068306,31111165,27443124,17450001,9993123,75069,1103224,13371961,8436685,7470366,6375,2961,0,3696345
2020,40800351,34959903,24301333,10658570,65416,760010,0,18734775,32052220,26937478,16278908,10658570,59599,757896,15075198,8748130,8022425,5817,2114,0,3659577
2021,42944604,35543814,25647502,9896312,82497,963239,0,20208742,33989996,28304209,18407897,9896312,77991,960602,15846237,8954608,7239605,4507,2637,0,4362506
2022,43467027,35645421,24948904,10696517,71739,864323,0,20853494,34228287,28115372,17418855,10696517,63431,861331,16394730,9238740,7530049,8307,2992,0,4458764
